Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
289,Bryce McGowens,23,NOP,SG,32,11,636,12.0,.615,.374,.450,1.7,9.0,5.3,10.2,1.4,0.8,6.8,14.5,1.1,0.2,1.2,.093,-1.8,-1.1,-2.9,-0.1,,mcgowbr01
290,Jonas Valančiūnas,33,DEN,C,43,4,627,21.0,.624,.066,.353,13.4,26.7,20.4,13.9,0.7,4.1,14.2,25.6,1.2,0.7,1.9,.147,0.0,-0.9,-0.9,0.2,,valanjo01
291,Anthony Davis,32,DAL,PF,20,20,626,21.7,.551,.111,.243,10.7,26.1,18.6,14.9,1.7,4.4,10.0,27.6,0.4,1.1,1.5,.115,1.5,1.0,2.5,0.7,,davisan02
292,Robert Williams,28,POR,C,38,1,620,22.9,.779,.110,.193,13.2,29.9,21.4,10.3,1.8,7.9,15.6,12.1,1.7,1.1,2.9,.223,3.1,2.6,5.7,1.2,,williro04
293,GG Jackson II,21,MEM,PF,33,8,616,13.8,.584,.443,.254,3.3,17.3,10.3,9.5,1.7,3.2,11.5,19.3,0.3,0.7,1.0,.078,-1.4,0.1,-1.3,0.1,,jacksgg01
294,Dylan Cardwell,24,SAC,C,29,1,616,15.6,.602,.009,.357,16.1,24.7,20.3,7.9,1.7,6.9,15.6,10.6,0.9,0.7,1.6,.127,-2.9,1.0,-1.9,0.0,,cardwdy01
295,Jericho Sims,27,MIL,C,39,7,613,10.9,.811,.000,.295,10.1,20.3,15.2,7.0,0.6,1.5,29.6,9.0,0.8,0.5,1.3,.098,-3.3,-0.6,-3.9,-0.3,,simsje01
296,Pat Spencer,29,GSW,PG,39,8,609,13.3,.530,.353,.156,5.2,11.2,8.2,29.1,2.1,0.3,16.2,19.3,0.4,0.6,1.0,.083,-0.8,0.3,-0.6,0.2,,spencpa01
297,De'Anthony Melton,27,GSW,PG,28,4,609,13.6,.536,.478,.239,2.7,11.5,7.1,16.5,3.5,1.6,13.6,24.5,-0.3,0.9,0.7,.053,-3.1,0.7,-2.4,-0.1,,meltode01
298,Justin Edwards,22,PHI,SF,41,5,592,9.4,.536,.643,.135,3.3,8.6,5.9,10.1,2.3,1.2,11.7,14.7,0.2,0.5,0.7,.056,-3.1,0.1,-3.0,-0.1,,edwarju01
299,Kenrich Williams,31,OKC,PF,36,2,581,15.4,.611,.463,.184,7.2,15.9,11.8,13.3,1.8,0.7,12.7,17.6,0.8,1.0,1.8,.153,1.0,0.6,1.7,0.5,,willike04
300,Taylor Hendricks,22,2TM,PF,37,6,579,10.1,.554,.534,.261,6.0,16.0,11.0,6.7,1.5,1.4,11.8,14.5,0.2,0.2,0.4,.032,-2.3,-1.8,-4.2,-0.3,,hendrta01
300,Taylor Hendricks,22,UTA,PF,33,6,492,10.2,.574,.547,.250,6.4,15.6,11.0,6.5,1.2,1.6,12.3,13.6,0.3,0.1,0.4,.035,-1.8,-1.8,-3.6,-0.2,,hendrta01
300,Taylor Hendricks,22,MEM,PF,4,0,87,9.1,.481,.485,.303,3.7,18.4,11.1,8.1,2.7,0.0,9.7,19.7,-0.1,0.1,0.0,.015,-5.5,-1.9,-7.3,-0.1,,hendrta01
