Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
359,Jeremiah Robinson-Earl,25,IND,PF,17,3,300,8.8,.443,.398,.169,11.1,20.7,15.8,5.4,1.1,0.3,10.1,14.0,-0.1,0.2,0.2,.024,-3.5,-1.8,-5.3,-0.2,,robinje02
359,Jeremiah Robinson-Earl,25,DAL,PF,5,0,61,13.0,.586,.471,.235,7.1,18.6,13.0,6.7,1.5,0.0,9.6,14.3,0.1,0.1,0.1,.108,-3.0,-0.9,-4.0,0.0,,robinje02
360,Moussa Cisse,23,DAL,C,30,1,359,15.0,.593,.000,.812,16.6,22.7,19.7,2.6,1.3,7.9,19.0,13.5,0.3,0.7,0.9,.122,-4.2,1.3,-2.9,-0.1,,cissemo01
361,Ousmane Dieng,22,2TM,C,30,1,359,12.6,.573,.560,.086,2.9,14.2,8.7,12.8,0.5,3.0,6.2,15.6,0.4,0.5,0.9,.122,0.1,0.7,0.8,0.3,,diengou01
361,Ousmane Dieng,22,OKC,C,27,0,295,10.1,.534,.538,.066,3.1,12.0,7.7,12.4,0.3,2.3,7.9,14.9,0.2,0.4,0.6,.096,-1.5,0.0,-1.5,0.0,,diengou01
361,Ousmane Dieng,22,MIL,C,3,1,64,24.1,.710,.640,.160,1.8,24.3,13.2,14.7,1.5,6.2,0.0,18.5,0.2,0.1,0.3,.243,7.2,4.1,11.3,0.2,,diengou01
362,Jeremy Sochan,22,SAS,PF,28,0,358,9.8,.538,.354,.162,7.9,13.9,11.0,10.4,1.3,1.2,14.5,14.6,0.1,0.5,0.6,.080,-3.6,0.3,-3.3,-0.1,,sochaje01
363,Cam Whitmore,21,WAS,SF,21,0,354,13.8,.528,.331,.183,5.6,11.8,8.7,6.6,2.0,2.0,9.0,23.6,-0.1,0.1,0.0,.006,-1.1,-2.1,-3.2,-0.1,,whitmca01
364,Ethan Thompson,26,IND,SG,22,5,352,8.4,.504,.647,.157,3.3,9.1,6.1,12.6,1.8,1.5,9.9,14.6,0.0,0.3,0.2,.034,-3.7,0.3,-3.3,-0.1,,thompet01
365,Tyler Herro,26,MIA,SG,11,10,349,18.0,.605,.370,.227,1.7,13.6,7.6,13.4,1.5,1.3,7.9,25.0,0.5,0.4,0.9,.127,2.5,0.3,2.8,0.4,,herroty01
366,Jett Howard,22,ORL,SF,33,0,342,11.5,.534,.632,.169,3.5,10.3,6.8,11.4,0.8,1.0,4.6,18.9,0.3,0.2,0.6,.077,-0.9,-1.4,-2.4,0.0,,howarje01
367,Liam McNeeley,20,CHO,SF,28,0,342,9.4,.566,.659,.352,3.7,15.8,9.9,9.0,0.7,0.8,10.6,14.0,0.3,0.3,0.6,.085,-2.0,-0.3,-2.3,0.0,,mcneeli01
368,Julian Phillips,22,2TM,SF,37,2,342,9.8,.537,.543,.141,7.0,6.8,6.9,2.6,2.6,1.5,6.7,12.9,0.2,0.3,0.4,.059,-2.7,0.1,-2.7,-0.1,,phillju01
368,Julian Phillips,22,CHI,SF,35,2,334,9.4,.533,.557,.125,7.2,7.0,7.1,2.7,2.4,1.6,7.0,12.6,0.1,0.2,0.4,.053,-2.8,-0.1,-2.9,-0.1,,phillju01
368,Julian Phillips,22,MIN,SF,2,0,8,28.2,.615,.250,.500,0.0,0.0,0.0,0.0,11.9,0.0,0.0,25.6,0.0,0.0,0.1,.302,0.8,8.4,9.1,0.0,,phillju01
369,Kobe Brown,26,2TM,PF,36,1,342,11.1,.532,.548,.301,7.6,14.5,11.1,12.8,1.5,0.6,13.9,15.9,0.2,0.2,0.4,.059,-1.7,-1.1,-2.8,-0.1,,brownko01
369,Kobe Brown,26,LAC,PF,34,0,295,11.3,.524,.583,.310,7.4,13.4,10.5,13.0,1.5,0.6,13.6,16.7,0.1,0.2,0.3,.054,-1.2,-1.2,-2.4,0.0,,brownko01
369,Kobe Brown,26,IND,PF,2,1,47,10.3,.607,.222,.222,8.9,21.2,14.9,11.7,1.0,0.0,16.8,10.7,0.0,0.0,0.1,.088,-4.4,-0.8,-5.2,0.0,,brownko01
370,Maxi Kleber,34,LAL,PF,29,1,333,7.8,.534,.396,.377,8.4,11.3,9.9,7.5,1.6,1.7,16.3,9.6,0.2,0.2,0.4,.060,-3.9,-0.1,-4.0,-0.2,,klebima01
371,Jamison Battle,24,TOR,SF,39,2,330,10.1,.632,.582,.099,4.4,14.4,9.3,6.2,0.7,0.6,12.8,14.1,0.2,0.3,0.5,.075,-2.1,-0.9,-3.0,-0.1,,battlja01
372,Larry Nance Jr.,33,CLE,PF,25,2,322,8.6,.472,.522,.054,7.1,14.6,10.8,9.7,2.2,1.1,10.5,13.5,0.0,0.4,0.4,.061,-4.4,0.8,-3.6,-0.1,,nancela02
373,Nick Richards,28,2TM,C,31,2,320,12.2,.555,.033,.451,14.2,23.2,18.6,3.9,1.1,5.5,22.1,18.5,-0.1,0.5,0.3,.049,-5.6,-0.9,-6.5,-0.4,,richani01
373,Nick Richards,28,PHO,C,28,2,254,11.4,.534,.000,.394,14.9,25.1,19.8,4.4,0.8,5.3,23.1,18.0,-0.2,0.4,0.2,.039,-6.0,-0.8,-6.8,-0.3,,richani01
373,Nick Richards,28,CHI,C,3,0,66,15.4,.622,.150,.650,11.5,16.1,13.9,2.1,2.1,6.6,18.9,20.3,0.0,0.1,0.1,.086,-4.0,-1.4,-5.4,-0.1,,richani01
374,Mohamed Diawara,20,NYK,SF,45,6,318,11.5,.582,.612,.058,3.4,15.1,9.1,10.2,1.7,1.6,12.4,16.1,0.2,0.4,0.6,.089,-1.2,0.6,-0.6,0.1,,diawamo01
375,Nick Smith Jr.,21,LAL,SG,25,1,318,9.2,.530,.519,.083,0.8,6.4,3.7,12.7,1.4,0.6,12.1,21.4,-0.2,0.1,0.0,-0.007,-2.8,-2.4,-5.2,-0.3,,smithni01
376,Dorian Finney-Smith,32,HOU,PF,20,0,316,4.5,.419,.791,.075,5.9,10.4,8.2,5.9,1.1,1.2,13.7,10.6,-0.1,0.3,0.2,.026,-5.4,-0.3,-5.7,-0.3,,finnedo01
377,Yanic Konan Niederhäuser,22,LAC,C,34,0,306,15.5,.695,.042,.606,11.4,18.5,15.1,5.0,0.3,5.9,17.4,15.9,0.5,0.3,0.8,.128,-3.1,-0.4,-3.5,-0.1,,konanya01
378,Christian Koloko,25,3TM,C,20,4,306,8.3,.447,.083,.100,9.1,14.1,11.6,5.8,1.9,6.0,16.1,10.1,-0.1,0.4,0.3,.042,-5.7,1.4,-4.3,-0.2,,kolokch01
378,Christian Koloko,25,LAL,C,2,0,6,-0.4,,,,0.0,19.0,9.8,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,.019,-6.7,-1.6,-8.3,0.0,,kolokch01
378,Christian Koloko,25,MEM,C,11,2,195,9.0,.394,.029,.114,10.5,13.7,12.1,6.5,2.4,6.2,16.0,9.3,-0.1,0.3,0.2,.046,-4.8,1.9,-2.8,0.0,,kolokch01
378,Christian Koloko,25,ATL,C,7,2,105,7.5,.522,.160,.080,7.1,14.6,10.8,4.9,0.9,6.0,16.2,12.3,0.0,0.1,0.1,.035,-7.4,0.7,-6.8,-0.1,,kolokch01
379,Amir Coffey,28,2TM,SG,32,2,298,9.1,.585,.470,.288,3.0,9.4,6.2,6.3,0.7,1.0,6.3,11.7,0.3,0.1,0.4,.068,-3.0,-1.8,-4.9,-0.2,,coffeam01
379,Amir Coffey,28,MIL,SG,30,2,265,8.4,.584,.455,.273,2.6,8.4,5.5,5.5,0.6,1.1,6.1,11.0,0.2,0.1,0.3,.057,-3.2,-1.9,-5.1,-0.2,,coffeam01
379,Amir Coffey,28,PHO,SG,2,0,33,14.4,.588,.545,.364,6.5,17.2,11.7,12.8,1.5,0.0,7.3,17.6,0.1,0.0,0.1,.154,-1.9,-1.0,-2.9,0.0,,coffeam01
380,Javon Small,23,MEM,PG,20,0,297,12.2,.517,.476,.238,5.1,10.8,7.9,29.7,1.1,0.9,15.9,19.3,0.2,0.2,0.4,.062,-0.8,-1.4,-2.2,0.0,,smallja01
381,Isaiah Livers,27,PHO,PF,29,0,294,9.6,.559,.673,.192,6.2,15.1,10.5,8.7,2.0,2.6,17.5,9.8,0.2,0.4,0.5,.086,-2.5,1.5,-0.9,0.1,,liveris01
382,Kelly Olynyk,34,SAS,C,30,0,284,12.7,.569,.481,.380,7.3,13.8,10.6,16.9,2.2,0.3,16.3,16.3,0.3,0.4,0.7,.114,-2.1,0.9,-1.2,0.1,,olynyke01
383,Zach Edey,23,MEM,C,11,11,284,20.8,.669,.051,.327,16.3,29.7,23.0,6.6,1.2,6.9,18.8,20.2,0.4,0.5,0.9,.149,-0.6,1.3,0.7,0.2,,edeyza01
384,Terrence Shannon Jr.,25,MIN,SG,22,0,282,6.9,.538,.457,.333,2.4,8.4,5.4,6.4,1.2,0.3,13.9,16.1,-0.1,0.2,0.2,.029,-4.8,-0.9,-5.6,-0.3,,shannte01
385,Trae Young,27,ATL,PG,10,10,280,19.8,.577,.437,.541,0.0,5.9,2.9,45.6,1.7,0.3,13.5,28.8,0.7,0.2,0.8,.144,3.3,-2.0,1.3,0.2,,youngtr01
386,Malaki Branham,22,WAS,SG,28,0,275,14.1,.604,.407,.374,4.6,12.4,8.4,11.9,1.7,1.0,12.4,18.3,0.3,0.1,0.4,.070,-0.9,-1.5,-2.4,0.0,,branhma01
387,Devin Carter,23,SAC,PG,20,1,268,12.3,.486,.432,.297,4.9,13.8,9.2,20.6,2.2,1.7,13.7,23.1,-0.2,0.1,0.0,-0.006,-2.7,-0.7,-3.4,-0.1,,cartede02
388,Jae'Sean Tate,30,HOU,SF,32,0,267,10.8,.559,.301,.096,9.1,10.3,9.7,8.2,1.5,1.0,11.6,13.5,0.3,0.3,0.6,.099,-3.1,-0.3,-3.4,-0.1,,tateja01
389,Grant Williams,27,CHO,PF,14,1,266,11.1,.518,.693,.360,7.4,16.1,11.9,11.1,1.1,1.4,10.3,15.3,0.3,0.2,0.5,.089,-1.4,0.6,-0.8,0.1,,willigr01
390,Duop Reath,29,POR,C,32,0,258,10.7,.613,.743,.081,4.1,11.9,8.0,5.4,0.9,2.8,8.4,13.1,0.3,0.2,0.5,.095,-0.7,-0.2,-0.9,0.1,,reathdu01
391,Jevon Carter,30,2TM,PG,24,0,258,11.9,.562,.755,.094,2.1,9.1,5.6,10.2,2.4,0.7,9.1,19.8,0.1,0.2,0.2,.044,-1.0,-0.6,-1.6,0.0,,carteje01
391,Jevon Carter,30,CHI,PG,23,0,254,12.5,.577,.757,.097,2.1,8.8,5.5,10.4,2.4,0.7,9.3,19.6,0.1,0.2,0.3,.056,-0.6,-0.4,-1.0,0.1,,carteje01
391,Jevon Carter,30,ORL,PG,1,0,4,-23.6,.000,.667,.000,0.0,28.3,13.9,0.0,0.0,0.0,0.0,31.7,-0.1,0.0,-0.1,-0.709,-29.0,-11.3,-40.4,0.0,,carteje01
392,Yang Hansen,20,POR,C,34,1,255,2.6,.399,.440,.238,6.7,16.4,11.4,10.9,0.6,2.8,23.8,19.3,-0.7,0.2,-0.5,-0.098,-9.2,-0.6,-9.8,-0.5,,yangha01
393,Myron Gardner,24,MIA,SF,26,4,254,17.2,.593,.536,.214,10.4,21.1,15.7,14.2,2.5,1.8,6.1,15.6,0.6,0.5,1.0,.198,0.0,2.5,2.5,0.3,,gardnmy01
394,Kevon Looney,29,NOP,C,18,6,251,13.6,.468,.173,.154,17.7,23.7,20.7,12.9,1.1,3.5,12.6,10.6,0.3,0.2,0.5,.101,-1.5,-0.8,-2.3,0.0,,looneke01
395,Pete Nance,25,MIL,PF,23,0,247,17.1,.767,.573,.000,5.1,16.2,10.7,8.5,1.4,1.6,11.8,15.2,0.5,0.2,0.7,.144,2.4,-0.3,2.1,0.2,,nancepe01
396,Chris Paul,40,LAC,PG,16,0,228,8.2,.413,.536,.036,3.2,10.9,7.2,31.5,2.4,0.0,22.0,14.2,-0.1,0.2,0.1,.015,-4.0,-0.3,-4.3,-0.1,,paulch01
397,Anthony Gill,33,WAS,PF,28,0,225,12.0,.619,.271,.250,7.9,14.2,11.0,5.4,2.3,2.3,15.8,11.7,0.2,0.1,0.3,.067,-3.3,-0.8,-4.1,-0.1,,gillan01
398,AJ Johnson,21,2TM,SG,28,0,225,3.6,.375,.307,.136,3.7,11.4,7.5,13.9,1.5,0.0,16.2,20.6,-0.7,0.0,-0.7,-0.143,-7.7,-3.5,-11.3,-0.5,,johnsaj01
398,AJ Johnson,21,WAS,SG,25,0,214,4.4,.396,.301,.145,3.9,11.5,7.7,14.1,1.6,0.0,16.9,20.7,-0.6,0.0,-0.6,-0.129,-7.3,-3.3,-10.6,-0.5,,johnsaj01
398,AJ Johnson,21,DAL,SG,3,0,11,-12.3,.000,.400,.000,0.0,9.4,4.8,10.5,0.0,0.0,0.0,19.1,-0.1,0.0,-0.1,-0.411,-16.4,-7.2,-23.7,-0.1,,johnsaj01
399,KJ Simpson,23,CHO,PG,14,2,223,7.8,.437,.438,.180,2.6,11.9,7.3,22.2,3.3,0.0,20.0,22.7,-0.5,0.3,-0.2,-0.043,-5.7,0.1,-5.6,-0.2,,simpskj01
400,Brooks Barnhizer,23,OKC,SG,29,0,221,7.6,.463,.348,.130,5.1,19.8,12.8,8.9,1.1,1.3,12.6,10.9,0.0,0.4,0.4,.078,-3.9,1.2,-2.7,0.0,,barnhbr01
401,Kam Jones,23,IND,SG,18,2,214,7.0,.460,.431,.069,2.9,6.7,4.8,17.5,0.9,0.0,11.8,13.4,-0.1,0.1,0.0,-0.002,-4.5,-1.9,-6.4,-0.2,,joneska03
402,Bronny James,21,LAL,SG,29,1,211,9.5,.506,.450,.083,2.3,5.9,4.2,21.9,2.5,0.9,18.4,15.7,0.0,0.2,0.1,.029,-2.6,-0.8,-3.4,-0.1,,jamesbr02
403,Rasheer Fleming,21,PHO,PF,30,0,209,9.0,.443,.561,.134,10.8,10.3,10.6,4.6,1.4,3.2,9.4,19.4,-0.1,0.2,0.1,.014,-4.5,-2.0,-6.5,-0.2,,flemira01
404,Blake Wesley,22,POR,SG,13,0,201,11.6,.493,.328,.239,3.2,10.4,6.7,27.4,3.1,0.4,17.8,18.1,0.0,0.2,0.2,.047,-2.9,0.7,-2.2,0.0,,weslebl01
405,Taelon Peter,23,IND,SG,24,0,196,8.7,.478,.914,.103,3.2,12.5,7.7,16.0,2.2,0.9,14.2,15.3,-0.1,0.2,0.1,.014,-3.1,-0.1,-3.2,-0.1,,peterta01
406,Garrison Mathews,29,IND,SG,15,1,196,11.4,.628,.885,.442,1.1,8.5,4.7,7.0,1.5,1.3,4.6,14.1,0.3,0.1,0.4,.107,-1.2,0.1,-1.1,0.0,,mathega01
407,Nigel Hayes-Davis,31,PHO,SF,27,0,195,4.2,.356,.348,.087,6.6,12.3,9.4,4.6,2.0,1.0,14.3,12.1,-0.3,0.2,-0.1,-0.024,-6.4,-0.9,-7.3,-0.3,,hayesni01
408,Lindy Waters III,28,SAS,SG,28,0,191,5.9,.496,.870,.019,1.1,10.5,5.9,7.3,1.0,0.0,6.8,12.9,0.0,0.2,0.2,.044,-3.6,0.0,-3.6,-0.1,,waterli01
409,Zach Collins,28,CHI,C,10,0,184,18.1,.666,.328,.313,9.5,23.1,16.4,11.9,0.5,1.9,12.1,19.0,0.4,0.1,0.5,.137,1.0,-0.9,0.2,0.1,,colliza01
410,Joan Beringer,19,MIN,PF,27,0,181,18.7,.664,.000,.232,17.2,15.5,16.4,5.6,0.8,5.4,11.5,16.2,0.5,0.2,0.7,.183,-0.7,-0.1,-0.8,0.1,,berinjo01
411,JD Davison,23,HOU,PG,24,0,178,9.6,.482,.529,.176,1.2,11.7,6.5,19.2,1.4,2.1,11.3,14.6,0.1,0.2,0.3,.078,-2.9,0.9,-2.1,0.0,,davisjd01
412,RayJ Dennis,24,3TM,PG,15,0,177,6.7,.416,.534,.123,4.7,9.4,7.0,23.5,1.1,2.0,16.3,22.0,-0.4,0.1,-0.3,-0.071,-4.0,-1.0,-5.0,-0.1,,dennira01
412,RayJ Dennis,24,IND,PG,13,0,168,6.6,.421,.528,.125,5.0,8.6,6.7,22.1,0.9,2.1,15.6,22.7,-0.4,0.1,-0.3,-0.076,-3.9,-1.3,-5.2,-0.1,,dennira01
412,RayJ Dennis,24,LAC,PG,1,0,4,-6.0,,,,0.0,56.6,29.2,0.0,0.0,0.0,100.0,11.1,0.0,0.0,0.0,-0.276,-15.6,-0.3,-15.8,0.0,,dennira01
412,RayJ Dennis,24,ATL,PG,1,0,5,22.0,.000,1.000,.000,0.0,0.0,0.0,89.1,9.4,0.0,0.0,8.4,0.0,0.0,0.0,.241,1.5,9.1,10.7,0.0,,dennira01
413,DaRon Holmes,23,DEN,PF,15,6,176,10.3,.623,.791,.186,3.4,11.7,7.8,11.0,0.0,2.1,9.7,12.8,0.3,0.1,0.3,.084,-0.6,-1.5,-2.2,0.0,,holmeda01
414,Chris Youngblood,23,OKC,SG,32,0,174,10.1,.505,.850,.167,4.6,12.6,8.7,8.1,1.1,1.7,3.0,16.5,0.1,0.3,0.4,.107,-2.5,-0.5,-3.0,0.0,,youngch01
415,Chaz Lanier,24,DET,SG,20,0,171,10.7,.524,.789,.088,4.6,7.7,6.2,9.9,1.4,0.0,3.3,14.8,0.2,0.2,0.4,.115,-0.9,-0.6,-1.5,0.0,,laniech01
416,Sharife Cooper,24,WAS,PG,12,0,171,10.8,.635,.365,.135,2.4,14.4,8.3,19.4,0.8,1.0,24.6,17.8,0.0,0.0,0.0,.001,-3.0,-2.5,-5.4,-0.1,,coopesh01
417,PJ Hall,23,2TM,C,16,2,171,18.6,.645,.098,.490,18.2,22.4,20.3,6.0,0.6,4.8,16.2,18.2,0.3,0.2,0.6,.155,0.2,-0.5,-0.4,0.1,,hallpj01
417,PJ Hall,23,MEM,C,7,0,27,18.9,.630,.333,.333,11.9,23.7,17.8,10.9,0.0,6.9,8.8,17.4,0.1,0.0,0.1,.167,1.7,0.1,1.8,0.0,,hallpj01
417,PJ Hall,23,CHO,C,9,2,144,18.6,.648,.048,.524,19.3,22.2,20.8,5.1,0.7,4.4,17.5,18.3,0.3,0.2,0.5,.153,-0.1,-0.7,-0.8,0.0,,hallpj01
418,Taurean Prince,31,MIL,SF,8,0,169,7.8,.623,.737,.079,0.0,8.5,4.3,6.3,1.7,1.2,11.3,11.6,0.1,0.1,0.2,.052,-3.3,-0.3,-3.6,-0.1,,princta02
419,Andre Jackson Jr.,24,MIL,SG,26,0,168,6.0,.385,.578,.222,6.8,9.3,8.0,18.2,1.8,1.2,15.4,15.4,-0.2,0.1,0.0,-0.014,-6.1,-1.2,-7.4,-0.2,,jacksan01
420,Marcus Sasser,25,DET,PG,17,0,167,18.1,.623,.638,.159,0.7,9.2,5.0,28.2,3.2,1.2,14.0,21.2,0.4,0.3,0.6,.186,1.9,1.9,3.7,0.2,,sassema01
421,Hunter Tyson,25,DEN,PF,21,2,162,6.5,.398,.635,.250,3.0,21.3,12.6,13.2,0.6,0.6,8.0,17.0,-0.2,0.1,-0.1,-0.017,-5.2,-1.8,-7.0,-0.2,,tysonhu01
422,Daeqwon Plowden,27,SAC,SG,7,1,160,6.8,.422,.667,.083,9.5,6.5,8.0,9.2,0.6,0.6,7.4,14.3,0.0,0.0,-0.1,-0.021,-4.4,-3.3,-7.7,-0.2,,plowdda01
423,Keshad Johnson,24,MIA,SF,21,0,159,10.3,.512,.404,.298,9.5,15.5,12.5,1.7,1.5,2.3,12.2,18.7,-0.1,0.2,0.1,.045,-4.3,-0.9,-5.2,-0.1,,johnske10
424,Moritz Wagner,28,ORL,C,13,0,156,22.5,.656,.413,.325,6.3,24.0,15.0,7.7,2.2,0.6,8.0,26.9,0.4,0.2,0.6,.189,3.3,-0.4,2.9,0.2,,wagnemo01
425,Jordan McLaughlin,29,SAS,PG,25,0,155,12.4,.549,.511,.106,2.8,9.5,6.2,16.2,4.0,0.0,15.5,15.8,0.0,0.3,0.3,.097,-2.5,2.7,0.2,0.1,,mclaujo01
426,Pat Connaughton,33,CHO,SG,22,0,155,15.5,.621,.600,.289,4.5,17.1,10.9,12.8,1.6,0.6,5.6,14.6,0.4,0.2,0.5,.156,1.9,1.1,3.0,0.2,,connapa01
427,Walker Kessler,24,UTA,C,5,5,154,20.7,.786,.216,.541,16.1,22.1,19.1,13.8,2.1,5.7,25.9,16.6,0.3,0.1,0.5,.150,1.6,1.7,3.3,0.2,,kesslwa01
428,Drew Timme,25,LAL,PF,18,0,150,15.0,.642,.370,.152,6.5,11.4,9.0,14.3,1.6,0.0,10.9,15.9,0.3,0.1,0.4,.119,0.6,-1.3,-0.6,0.1,,timmedr01
429,Jahmai Mashack,23,MEM,SG,12,2,142,11.1,.511,.500,.000,3.0,9.0,6.0,11.7,5.7,0.7,16.4,16.1,-0.1,0.2,0.1,.042,-5.2,2.9,-2.3,0.0,,mashaja01
430,Jonathan Mogbo,24,TOR,PF,23,0,139,9.9,.497,.000,.179,9.5,20.4,14.9,9.3,1.4,2.8,16.6,11.1,0.0,0.2,0.2,.071,-4.3,0.0,-4.3,-0.1,,mogbojo01
431,Jamal Cain,26,ORL,SF,19,0,132,8.2,.555,.500,.474,5.8,6.0,5.9,6.2,1.5,0.7,13.2,16.9,0.0,0.1,0.1,.051,-5.1,-1.6,-6.7,-0.2,,cainja01
432,Mason Plumlee,35,CHO,C,14,2,125,13.4,.752,.000,1.000,9.3,26.4,18.1,16.5,2.4,0.0,34.2,8.8,0.2,0.2,0.3,.132,-1.6,2.5,0.9,0.1,,plumlma01
433,Kevin McCullar Jr.,24,NYK,SF,16,0,123,8.5,.483,.515,.152,7.9,13.6,10.7,19.8,2.4,0.0,23.8,15.9,-0.1,0.2,0.1,.037,-4.3,0.5,-3.8,-0.1,,mcculke01
434,Lachlan Olbrich,22,CHI,C,17,0,121,8.4,.472,.333,.476,10.8,22.9,16.9,12.3,0.8,0.7,13.6,10.2,0.1,0.1,0.2,.064,-4.6,-0.4,-5.1,-0.1,,olbrila01
435,Bradley Beal,32,LAC,SG,6,6,121,5.1,.476,.396,.167,2.0,2.8,2.4,12.4,1.2,0.0,14.9,22.3,-0.2,0.0,-0.2,-0.073,-6.7,-3.9,-10.6,-0.3,,bealbr01
436,Ty Jerome,28,MEM,SG,6,6,121,32.5,.690,.493,.465,2.7,8.8,5.8,54.2,2.7,1.5,10.5,32.7,0.7,0.1,0.9,.340,10.7,1.2,11.9,0.4,,jeromty01
437,Dereck Lively II,21,DAL,C,7,4,115,15.0,.670,.000,.556,13.2,20.6,17.0,14.6,1.6,8.0,30.9,11.8,0.1,0.2,0.3,.138,-3.0,3.8,0.8,0.1,,livelde01
438,Amari Williams,24,BOS,PF,14,2,112,9.6,.517,.000,.750,6.9,21.5,14.2,6.5,0.9,8.1,22.0,10.5,0.0,0.2,0.2,.076,-4.9,2.4,-2.5,0.0,,william01
439,Xavier Tillman Sr.,27,2TM,C,15,1,112,11.2,.500,.484,.000,9.9,14.7,12.3,5.9,2.7,1.8,13.9,13.9,0.0,0.2,0.2,.075,-2.2,0.8,-1.4,0.0,,tillmxa01
439,Xavier Tillman Sr.,27,BOS,C,14,1,111,11.3,.500,.484,.000,10.0,14.8,12.4,5.9,2.7,1.8,13.9,14.0,0.0,0.2,0.2,.076,-2.1,0.8,-1.4,0.0,,tillmxa01
439,Xavier Tillman Sr.,27,CHO,C,1,0,1,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,.002,-6.1,-2.1,-8.2,0.0,,tillmxa01
440,Doug McDermott,34,SAC,SF,11,0,111,7.1,.579,.974,.000,1.0,7.3,4.0,3.8,0.9,0.8,13.6,16.9,-0.1,0.0,-0.1,-0.028,-2.4,-2.7,-5.2,-0.1,,mcderdo01
441,A.J. Lawson,25,TOR,SG,13,0,109,12.1,.545,.537,.220,7.1,16.6,11.8,3.8,1.8,2.7,8.2,19.2,0.1,0.2,0.2,.093,-2.3,-0.4,-2.7,0.0,,lawsoaj01
442,Khaman Maluach,19,PHO,C,23,0,107,8.3,.546,.250,.417,8.1,19.1,13.5,3.7,0.5,8.0,26.0,15.2,-0.1,0.1,0.0,.019,-8.0,0.0,-8.0,-0.2,,maluakh01
443,Jalen Green,23,PHO,SG,7,2,107,16.7,.544,.561,.197,2.0,13.8,7.8,24.6,1.4,0.0,12.2,32.3,0.0,0.1,0.1,.063,2.4,-1.3,1.1,0.1,,greenja05
444,Ron Harper Jr.,25,BOS,SF,10,1,106,9.4,.423,.774,.065,9.4,12.4,10.9,9.5,0.5,3.8,3.0,13.4,0.1,0.1,0.2,.076,-2.0,0.0,-2.0,0.0,,harpero02
445,Leonard Miller,22,2TM,SF,21,0,104,13.5,.608,.343,.343,7.5,21.8,14.7,6.8,2.3,0.0,18.3,19.9,0.0,0.2,0.2,.074,-4.5,-0.1,-4.6,-0.1,,millele01
445,Leonard Miller,22,MIN,SF,19,0,95,12.2,.581,.364,.333,8.2,20.5,14.4,7.5,2.0,0.0,19.2,20.7,0.0,0.1,0.1,.051,-5.1,-0.6,-5.8,-0.1,,millele01
445,Leonard Miller,22,CHI,SF,2,0,9,27.0,1.025,.000,.500,0.0,35.5,17.9,0.0,5.3,0.0,0.0,11.4,0.0,0.0,0.1,.312,1.9,5.5,7.4,0.0,,millele01
446,Luke Travers,24,CLE,SG,12,0,103,10.2,.350,.444,.250,9.4,15.9,12.7,10.7,3.2,3.6,7.0,17.3,-0.1,0.2,0.1,.027,-4.2,1.0,-3.2,0.0,,travelu01
447,Miles Kelly,23,DAL,PG,12,0,102,8.7,.515,.788,.000,4.3,15.1,9.8,10.6,1.4,0.0,10.8,15.2,0.0,0.1,0.1,.041,-5.0,-0.6,-5.6,-0.1,,kellymi02
448,Adou Thiero,21,LAL,SF,17,0,98,9.4,.522,.050,.450,8.7,12.8,10.8,6.6,2.5,1.9,14.3,12.4,0.0,0.1,0.1,.066,-4.8,-0.1,-4.9,-0.1,,thierad01
449,Alijah Martin,24,TOR,SG,13,0,97,11.3,.456,.375,.375,6.8,9.3,8.1,10.9,3.0,3.0,7.4,17.7,0.0,0.1,0.1,.070,-3.4,1.4,-2.1,0.0,,martial01
450,Chris Boucher,33,BOS,PF,9,0,94,7.8,.392,.600,.160,2.4,18.6,10.5,4.0,2.7,7.5,3.6,12.8,-0.1,0.2,0.1,.058,-5.9,2.5,-3.3,0.0,,bouchch01
451,Johnny Juzang,24,MIN,SG,21,0,88,12.2,.518,.632,.211,6.3,14.7,10.6,9.6,1.1,1.0,10.7,22.2,0.0,0.1,0.1,.042,-1.6,-1.7,-3.3,0.0,,juzanjo01
452,Javonte Cooke,26,POR,SG,16,0,83,1.6,.321,.543,.057,3.8,15.9,9.8,11.3,3.4,0.0,20.1,21.8,-0.4,0.1,-0.3,-0.154,-9.7,-0.2,-9.8,-0.2,,cookeja01
453,Jeff Green,39,HOU,PF,18,0,82,14.2,.632,.719,.031,1.3,12.1,6.7,5.3,0.6,1.1,3.0,17.1,0.2,0.1,0.3,.154,2.0,-1.5,0.5,0.1,,greenje02
454,Obi Toppin,27,IND,PF,3,0,82,11.9,.526,.472,.250,3.8,23.0,13.1,9.4,1.7,0.0,13.1,23.7,-0.1,0.1,0.0,.008,-2.4,-0.4,-2.8,0.0,,toppiob01
455,Scoot Henderson,21,POR,PG,4,0,80,17.1,.716,.655,.793,1.3,15.1,8.1,41.4,1.8,0.0,31.5,28.8,0.1,0.1,0.2,.105,-0.4,-1.5,-1.8,0.0,,hendesc01
